Smartchip,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
0,NAS1,NAS1,NAS1,NAS1,EUS1,EUS1,EUS1,EUS1,XENOS1,XENOS1,XENOS1,XENOS1,NAS97,NAS97,NAS97,NAS97,EUS97,EUS97,EUS97,EUS97,XENOS97,XENOS97,XENOS97,XENOS97,NAS49,NAS49,NAS49,NAS49,EUS49,EUS49,EUS49,EUS49,XENOS49,XENOS49,XENOS49,XENOS49,NAS145,NAS145,NAS145,NAS145,EUS145,EUS145,EUS145,EUS145,XENOS145,XENOS145,XENOS145,XENOS145,NAS2,NAS2,NAS2,NAS2,EUS2,EUS2,EUS2,EUS2,XENOS2,XENOS2,XENOS2,XENOS2,NAS98,NAS98,NAS98,NAS98,EUS98,EUS98,EUS98,EUS98,XENOS98,XENOS98,XENOS98,XENOS98
1,NAS50,NAS50,NAS50,NAS50,EUS50,EUS50,EUS50,EUS50,XENOS50,XENOS50,XENOS50,XENOS50,NAS146,NAS146,NAS146,NAS146,EUS146,EUS146,EUS146,EUS146,XENOS146,XENOS146,XENOS146,XENOS146,NAS3,NAS3,NAS3,NAS3,EUS3,EUS3,EUS3,EUS3,XENOS3,XENOS3,XENOS3,XENOS3,NAS99,NAS99,NAS99,NAS99,EUS99,EUS99,EUS99,EUS99,XENOS99,XENOS99,XENOS99,XENOS99,NAS51,NAS51,NAS51,NAS51,EUS51,EUS51,EUS51,EUS51,XENOS51,XENOS51,XENOS51,XENOS51,NAS147,NAS147,NAS147,NAS147,EUS147,EUS147,EUS147,EUS147,XENOS147,XENOS147,XENOS147,XENOS147
2,NAS4,NAS4,NAS4,NAS4,EUS4,EUS4,EUS4,EUS4,XENOS4,XENOS4,XENOS4,XENOS4,NAS100,NAS100,NAS100,NAS100,EUS100,EUS100,EUS100,EUS100,XENOS100,XENOS100,XENOS100,XENOS100,NAS52,NAS52,NAS52,NAS52,EUS52,EUS52,EUS52,EUS52,XENOS52,XENOS52,XENOS52,XENOS52,NAS148,NAS148,NAS148,NAS148,EUS148,EUS148,EUS148,EUS148,XENOS148,XENOS148,XENOS148,XENOS148,NAS5,NAS5,NAS5,NAS5,EUS5,EUS5,EUS5,EUS5,XENOS5,XENOS5,XENOS5,XENOS5,NAS101,NAS101,NAS101,NAS101,EUS101,EUS101,EUS101,EUS101,XENOS101,XENOS101,XENOS101,XENOS101
3,NAS53,NAS53,NAS53,NAS53,EUS53,EUS53,EUS53,EUS53,XENOS53,XENOS53,XENOS53,XENOS53,NAS149,NAS149,NAS149,NAS149,EUS149,EUS149,EUS149,EUS149,XENOS149,XENOS149,XENOS149,XENOS149,NAS6,NAS6,NAS6,NAS6,EUS6,EUS6,EUS6,EUS6,XENOS6,XENOS6,XENOS6,XENOS6,NAS102,NAS102,NAS102,NAS102,EUS102,EUS102,EUS102,EUS102,XENOS102,XENOS102,XENOS102,XENOS102,NAS54,NAS54,NAS54,NAS54,EUS54,EUS54,EUS54,EUS54,XENOS54,XENOS54,XENOS54,XENOS54,NAS150,NAS150,NAS150,NAS150,EUS150,EUS150,EUS150,EUS150,XENOS150,XENOS150,XENOS150,XENOS150
4,NAS7,NAS7,NAS7,NAS7,EUS7,EUS7,EUS7,EUS7,XENOS7,XENOS7,XENOS7,XENOS7,NAS103,NAS103,NAS103,NAS103,EUS103,EUS103,EUS103,EUS103,XENOS103,XENOS103,XENOS103,XENOS103,NAS55,NAS55,NAS55,NAS55,EUS55,EUS55,EUS55,EUS55,XENOS55,XENOS55,XENOS55,XENOS55,NAS151,NAS151,NAS151,NAS151,EUS151,EUS151,EUS151,EUS151,XENOS151,XENOS151,XENOS151,XENOS151,NAS8,NAS8,NAS8,NAS8,EUS8,EUS8,EUS8,EUS8,XENOS8,XENOS8,XENOS8,XENOS8,NAS104,NAS104,NAS104,NAS104,EUS104,EUS104,EUS104,EUS104,XENOS104,XENOS104,XENOS104,XENOS104
5,NAS56,NAS56,NAS56,NAS56,EUS56,EUS56,EUS56,EUS56,XENOS56,XENOS56,XENOS56,XENOS56,NAS152,NAS152,NAS152,NAS152,EUS152,EUS152,EUS152,EUS152,XENOS152,XENOS152,XENOS152,XENOS152,NAS9,NAS9,NAS9,NAS9,EUS9,EUS9,EUS9,EUS9,XENOS9,XENOS9,XENOS9,XENOS9,NAS105,NAS105,NAS105,NAS105,EUS105,EUS105,EUS105,EUS105,XENOS105,XENOS105,XENOS105,XENOS105,NAS57,NAS57,NAS57,NAS57,EUS57,EUS57,EUS57,EUS57,XENOS57,XENOS57,XENOS57,XENOS57,NAS153,NAS153,NAS153,NAS153,EUS153,EUS153,EUS153,EUS153,XENOS153,XENOS153,XENOS153,XENOS153
6,NAS10,NAS10,NAS10,NAS10,EUS10,EUS10,EUS10,EUS10,XENOS10,XENOS10,XENOS10,XENOS10,NAS106,NAS106,NAS106,NAS106,EUS106,EUS106,EUS106,EUS106,XENOS106,XENOS106,XENOS106,XENOS106,NAS58,NAS58,NAS58,NAS58,EUS58,EUS58,EUS58,EUS58,XENOS58,XENOS58,XENOS58,XENOS58,NAS154,NAS154,NAS154,NAS154,EUS154,EUS154,EUS154,EUS154,XENOS154,XENOS154,XENOS154,XENOS154,NAS11,NAS11,NAS11,NAS11,EUS11,EUS11,EUS11,EUS11,XENOS11,XENOS11,XENOS11,XENOS11,NAS107,NAS107,NAS107,NAS107,EUS107,EUS107,EUS107,EUS107,XENOS107,XENOS107,XENOS107,XENOS107
7,NAS59,NAS59,NAS59,NAS59,EUS59,EUS59,EUS59,EUS59,XENOS59,XENOS59,XENOS59,XENOS59,NAS155,NAS155,NAS155,NAS155,EUS155,EUS155,EUS155,EUS155,XENOS155,XENOS155,XENOS155,XENOS155,NAS12,NAS12,NAS12,NAS12,EUS12,EUS12,EUS12,EUS12,XENOS12,XENOS12,XENOS12,XENOS12,NAS108,NAS108,NAS108,NAS108,EUS108,EUS108,EUS108,EUS108,XENOS108,XENOS108,XENOS108,XENOS108,NAS60,NAS60,NAS60,NAS60,EUS60,EUS60,EUS60,EUS60,XENOS60,XENOS60,XENOS60,XENOS60,NAS156,NAS156,NAS156,NAS156,EUS156,EUS156,EUS156,EUS156,XENOS156,XENOS156,XENOS156,XENOS156
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,NAS193,NAS193,NAS193,NAS193,EUS193,EUS193,EUS193,EUS193,XENOS193,XENOS193,XENOS193,XENOS193,NAS289,NAS289,NAS289,NAS289,EUS289,EUS289,EUS289,EUS289,XENOS289,XENOS289,XENOS289,XENOS289,NAS241,NAS241,NAS241,NAS241,EUS241,EUS241,EUS241,EUS241,XENOS241,XENOS241,XENOS241,XENOS241,NAS337,NAS337,NAS337,NAS337,EUS337,EUS337,EUS337,EUS337,XENOS337,XENOS337,XENOS337,XENOS337,NAS194,NAS194,NAS194,NAS194,EUS194,EUS194,EUS194,EUS194,XENOS194,XENOS194,XENOS194,XENOS194,NAS290,NAS290,NAS290,NAS290,EUS290,EUS290,EUS290,EUS290,XENOS290,XENOS290,XENOS290,XENOS290
