,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
0,17.67,17.05,17.65,17.74,,,,,30.5,30.32,30.75,30.7,,,,,,,,,32.02,34.04,32.45,33.1,19.47,,,19.58,,,,,31.9,31.42,31.38,31.1,,,,,,,,,31.87,,32.55,32.66,24.33,23.81,24.26,24.38,,,,,31.22,31.47,30.99,31.14,,,,,,,,,31.84,30.38,31.78,
1,24.21,24.5,24.57,24.65,,,,,31.97,30.86,30.87,31.02,,,,,,,,,32.56,31.86,31.92,33.03,28.63,28.51,26.9,30.83,,,,,31.4,31.88,31.03,31.4,,,,,,,,,31.32,31.42,33.23,32.76,29.61,29.68,30.47,30.99,,,,,30.72,31.27,31.5,30.65,,,,,,,,,32.48,31.97,32.15,
2,16.97,17.15,17.26,17.17,,,,,32.11,30.33,32.65,31.83,,,,,,,,,33.37,32.08,31.98,31.17,18.91,17.33,17.28,17.4,,,,,32.17,31.66,30.88,31.11,,,,,,,,,31.87,31.58,33.12,33.08,23.77,23.78,24.06,24.14,,,,,31.12,32.23,31.24,31.14,,,,,,,,,31.87,32.44,32.02,
3,23.7,23.99,24.04,24.3,,,,,30.88,30.72,30.4,30.89,,,,,,,,,32.5,31.27,32.16,33.34,28.65,28.88,28.42,28.7,,,,,32.33,31.14,31.83,31.18,,,,,,,,,31.51,32.5,31.97,33.13,29.75,29.83,29.75,29.21,,,,,30.28,30.63,32.13,31.34,,,,,,,,,32.54,31.75,32.98,
4,30.18,29.52,,29.95,,,,,31.72,31.42,30.97,31.14,33.15,30.47,31.15,31.13,,,,,31.9,31.71,32.49,32.52,31.38,31.81,32.95,,,,,,31.2,32.37,30.61,32.89,,,,,,,,,31.09,31.82,33.17,,31.18,,31.66,31.71,,,,,,,,,30.66,30.43,30.6,30.42,,,,,34.06,32.61,33.04,
5,32.51,,,34.62,,,,,,,,,,,,,,,,,31.85,33.06,34.2,,31.81,,32.9,31.71,,,,,,,,,32,31.06,32.99,,,,,,34.1,33.18,34.32,32.36,,31.25,32.1,,,,,,,,,,31.43,30.64,,31.5,,,,,31.93,34.57,32.33,
6,32.94,31.08,32.53,32.27,,,,,,,,,31.59,32.11,30.95,30.15,,,,,32.63,32.38,32.57,,31.41,32.56,32.15,,,,,,,,,,29.3,29.23,30.93,28.79,,,,,32.48,32.66,33.01,34.02,32.06,31.22,,32.82,,,,,,,,,,,,,,,,,31.64,33.83,32.72,
7,30.92,,31.02,32.28,,,,,,,,,27.14,27.35,27.4,27.41,,,,,33.31,34.17,31.27,32.82,30.63,32.3,32.36,,,,,,,,,,,,,,,,,,32.06,32.68,33.22,32.04,,31.44,32.09,,,,,,,,,,29.88,27.5,27.51,27.51,,,,,32.31,32.22,31.82,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,29.59,29.36,28.94,30.19,,,,,32.57,31.17,33.8,31.4,,,,,,,,,31.24,31.34,31.16,31.41,,31.35,32.02,32.94,,,,,32.85,33.28,33.65,33.16,,,,,,,,,30.48,31.73,32.62,30.51,28.73,29.07,29.24,29.05,,,,,34.36,32.7,31.78,31.64,,,,,,,,,32.22,31.79,31.08,30.04
10,31.14,32.11,,31.11,,,,,34.23,33.07,31.6,,,,,,,,,,30.55,31.35,31.17,31.01,28.91,29.01,29.31,28.59,,,,,32.33,32.6,32.03,33,,29.84,,,,,,,32.84,32.83,32.06,30.95,30.25,30.45,30,29.62,,,,,34.06,32.42,32.58,33.05,,,,,,,,,31.34,31.67,31.35,30.5
11,29.63,31.49,29.91,31.02,,,,,33.34,32.88,31.83,31.8,31.86,31.25,29.84,,,,,,31.45,31.69,31.22,31.47,,,33.39,,,,,,32.82,34.12,32.95,33.83,23.63,23.69,23.77,23.74,,,,,30.87,30.68,33.2,30.91,33.02,31.2,30.78,,,,,,33.23,32.81,32.49,33.99,31.37,31.72,,,,,,,31.83,31.5,31.42,30.65
12,28.67,29.55,28.72,29.41,,,,,34.05,32.52,32.52,,24.78,24.82,24.88,25.01,,,,,31.72,32.59,31.25,31.6,29.71,30.73,30.86,30.04,,,,,31.45,32.09,31.56,33.63,24.78,24.73,24.92,24.83,,,,,32.06,30.73,33.11,32.9,,,33.06,,,,,,32.26,34.41,,33.12,23.58,23.4,23.36,23.52,,,,,34.24,32.52,32.26,31.7
13,34.4,,,,,,,,34.22,32.29,33.4,34.29,,,,,,,,,32.58,31.52,32.04,31.44,30.07,30.06,29.52,30.35,,,,,31.95,31.93,31.91,32.37,,,,,,,,,32.23,31.6,31.82,31.97,31.02,33.14,32.85,31.44,,,,,32.7,31.91,33.15,32.64,,,,,,,,,31.46,32.28,31.68,30.41
14,25.52,25.74,25.82,26.23,,,,,,32.97,33.14,32.5,,,,,,,,,31.69,32.6,33,31.48,30.18,30.41,29.93,30,,,,,33.07,33.23,31.29,33.06,30.83,29.81,29.88,30.03,,,,,32.6,31.8,30.78,31.2,23.15,23.28,23.05,23.28,,,,,33.08,34.02,31.26,34.01,,,,,,,,,32.19,32.21,33.77,30.9
15,29.49,29.75,29.81,30.12,,,,,32.57,31.91,32.41,32.04,,,,,,,,,31.28,31.34,33,31.24,26.05,26.21,25.84,25.87,,,,,32.62,32.19,31.24,32.84,,,,,,,,,32.41,31.4,32.63,31.33,30.69,29.69,30.46,31.18,,,,,32.33,32.87,33.21,33.17,23.6,23.67,23.43,23.47,,,,,30.96,30.47,31.07,30.77
16,29.21,29.13,29.22,29.09,,,,,34.9,31.86,34.04,32.8,29.63,29.08,29.47,29.5,,,,,32.86,32.21,31.39,31.8,28.68,27.68,28.37,27.92,,,,,31.81,31.89,32.52,32.28,23.31,23.39,23.59,23.67,,,,,31.03,32.05,32.81,31.26,32.53,31.67,31.01,32.43,,,,,33.26,32.65,31.89,33.04,,,,,,,,,33.1,33.43,30.74,31.17
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
