,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
0,18.69,18.67,18.02,18.41,,,,,,,31.7,,20.1,19.51,19.52,19.05,,,,,,32.82,,,,18.57,18.37,18.41,,,,,32.98,,31.59,,18.85,18.96,18.54,19.79,,,,,31.91,32.77,32.03,,18.95,18.02,18.42,18.27,,,,,,32.87,33.04,,18.35,18.91,18.45,18.2,,,,,,,,30.61
1,,,,30.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,19.2,18.06,18.91,18.44,,,,,,,,,18.58,19.61,18.61,18.22,,,,,,33.22,32.87,,18.14,18.07,18.18,18.39,,,,,33,32.06,,32.93,18.77,19.23,18.44,18.68,,,,,31.54,32.59,31.8,33.1,18.54,18.17,18.04,18.57,,,,,,,33.07,33.08,19.87,19.02,19.13,19.09,,,,,38.41,32.73,,32.89
3,31.72,,31.7,30.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.33,,,,,,,,,,,
4,18.98,18.28,18.87,18.15,,,,,,,,33.13,18.95,20.08,18.71,18.34,,,,,,33.05,,,18.69,18.37,18.07,18.01,,,,,33.25,,33.22,,18.75,18.8,18.44,18.37,,,,,33.54,,34.25,33.45,18.72,18.25,18.39,18.44,,,,,,,,32.74,18.8,18.56,18.58,18.27,,,,,31.46,,36.75,32.82
5,,,,,,,,,,,,,32.47,,37.1,34.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.82,27.46,,,,,,,,,,
6,18.8,18.43,18.25,18.18,,,,,33.36,32.88,33.19,32.39,19.65,19.54,19.12,19.18,,,,,,32.14,35.5,,18.69,18.46,18.14,18.39,,,,,32.46,33.09,32.74,32.64,18.91,,18.87,18.29,,,,,,,,,18.29,18.21,18.39,18.4,,,,,,32.83,33.08,,18.44,18.94,18.76,19.05,,,,,,32.79,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,19.23,19.73,17.9,18.98,,,,,32.66,,,,18.59,19.02,18.4,17.67,,,,,32.27,,,32.23,19.26,17.59,18.61,18.76,,,,,,,,,18.97,18.73,18.79,18.99,,,,,,32.06,,,18.39,17.43,18.64,18.72,,,,,,,33.2,33.06,19.47,19.18,18.94,18.74,,,,,,,32.7,
10,,18,,32.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,19.02,19.73,18.91,18.73,,,,,32.67,32.07,32.84,,18.92,19.1,18.66,19.65,,,,,,33.15,,,19.35,17.78,18.97,19.21,,,,,,,,,20.1,19.26,19.11,19.45,,,,,32.1,33.11,33.01,31.98,18.93,18.03,18.91,19.22,,,,,,,,,19.4,19.16,19.16,19.16,,,,,31.91,32.86,,
12,31.35,23.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,17.79,18.95,19.28,,,,,,,,33.01,19.45,,18.71,19.02,,,,,33.48,,,,19.05,20.22,18.89,19.05,,,,,,31.07,32.68,32.68,,19.26,19.26,19.39,,,,,32.02,,33.03,33.31,18.92,17.99,19.41,18.99,,,,,31.95,,33.34,33.05,19.66,19.46,18.88,19.07,,,,,33.99,,32.9,
14,,,,33.91,,,,,,,,,31.25,31.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,19.03,17.42,18.92,19.08,,,,,33.11,32.78,,,19.31,18.88,18.92,18.66,,,,,,31.45,31.57,32.65,19.35,16.96,19.18,19.33,,,,,33.03,33.17,33.15,31.34,18.81,18.86,18.93,19.07,,,,,,32.95,,,18.74,17.21,18.97,18.99,,,,,32.67,,,32.01,,19.15,19.02,19.05,,,,,33.02,,,32.81
16,,,,,,,,,,,,,31.67,31.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
