,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
0,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,G2 #31 D2,G2 #31 D2,G2 #31 D2,G2 #31 D2,G2 #31 D2,G2 #31 D2,G2 #31 D2,G2 #31 D2,G2 #31 D2,G2 #31 D2,G2 #31 D2,G2 #31 D2,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,G4 #25 D2,G4 #25 D2,G4 #25 D2,G4 #25 D2,G4 #25 D2,G4 #25 D2,G4 #25 D2,G4 #25 D2,G4 #25 D2,G4 #25 D2,G4 #25 D2,G4 #25 D2,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,G2 #31 D4,G2 #31 D4,G2 #31 D4,G2 #31 D4,G2 #31 D4,G2 #31 D4,G2 #31 D4,G2 #31 D4,G2 #31 D4,G2 #31 D4,G2 #31 D4,G2 #31 D4
1,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,G4 #25 D4,G4 #25 D4,G4 #25 D4,G4 #25 D4,G4 #25 D4,G4 #25 D4,G4 #25 D4,G4 #25 D4,G4 #25 D4,G4 #25 D4,G4 #25 D4,G4 #25 D4,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,G2 #31 D7,G2 #31 D7,G2 #31 D7,G2 #31 D7,G2 #31 D7,G2 #31 D7,G2 #31 D7,G2 #31 D7,G2 #31 D7,G2 #31 D7,G2 #31 D7,G2 #31 D7,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,G4 #25 D7,G4 #25 D7,G4 #25 D7,G4 #25 D7,G4 #25 D7,G4 #25 D7,G4 #25 D7,G4 #25 D7,G4 #25 D7,G4 #25 D7,G4 #25 D7,G4 #25 D7
2,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,G2 #31 D14,G2 #31 D14,G2 #31 D14,G2 #31 D14,G2 #31 D14,G2 #31 D14,G2 #31 D14,G2 #31 D14,G2 #31 D14,G2 #31 D14,G2 #31 D14,G2 #31 D14,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,No sample,No sample,No sample,No sample,No sample,No sample,No sample,No sample,No sample,No sample,No sample,No sample,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,G2 #31 D28,G2 #31 D28,G2 #31 D28,G2 #31 D28,G2 #31 D28,G2 #31 D28,G2 #31 D28,G2 #31 D28,G2 #31 D28,G2 #31 D28,G2 #31 D28,G2 #31 D28
3,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,G4 #25 D28,G4 #25 D28,G4 #25 D28,G4 #25 D28,G4 #25 D28,G4 #25 D28,G4 #25 D28,G4 #25 D28,G4 #25 D28,G4 #25 D28,G4 #25 D28,G4 #25 D28,2,2,2,2,2,2,2,2,2,2,2,2,G2 #31 D35,G2 #31 D35,G2 #31 D35,G2 #31 D35,G2 #31 D35,G2 #31 D35,G2 #31 D35,G2 #31 D35,G2 #31 D35,G2 #31 D35,G2 #31 D35,G2 #31 D35,6,6,6,6,6,6,6,6,6,6,6,6,G4 #25 D35,G4 #25 D35,G4 #25 D35,G4 #25 D35,G4 #25 D35,G4 #25 D35,G4 #25 D35,G4 #25 D35,G4 #25 D35,G4 #25 D35,G4 #25 D35,G4 #25 D35
4,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,G3 #13 D2,G3 #13 D2,G3 #13 D2,G3 #13 D2,G3 #13 D2,G3 #13 D2,G3 #13 D2,G3 #13 D2,G3 #13 D2,G3 #13 D2,G3 #13 D2,G3 #13 D2,A5,A5,A5,A5,A5,A5,A5,A5,A5,A5,A5,A5,G5 #17 D2,G5 #17 D2,G5 #17 D2,G5 #17 D2,G5 #17 D2,G5 #17 D2,G5 #17 D2,G5 #17 D2,G5 #17 D2,G5 #17 D2,G5 #17 D2,G5 #17 D2,0,0,0,0,0,0,0,0,0,0,0,0,G3 #13 D4,G3 #13 D4,G3 #13 D4,G3 #13 D4,G3 #13 D4,G3 #13 D4,G3 #13 D4,G3 #13 D4,G3 #13 D4,G3 #13 D4,G3 #13 D4,G3 #13 D4
5,0,0,0,0,0,0,0,0,0,0,0,0,G5 #17 D4,G5 #17 D4,G5 #17 D4,G5 #17 D4,G5 #17 D4,G5 #17 D4,G5 #17 D4,G5 #17 D4,G5 #17 D4,G5 #17 D4,G5 #17 D4,G5 #17 D4,0,0,0,0,0,0,0,0,0,0,0,0,G3 #13 D7,G3 #13 D7,G3 #13 D7,G3 #13 D7,G3 #13 D7,G3 #13 D7,G3 #13 D7,G3 #13 D7,G3 #13 D7,G3 #13 D7,G3 #13 D7,G3 #13 D7,0,0,0,0,0,0,0,0,0,0,0,0,G5 #17 D7,G5 #17 D7,G5 #17 D7,G5 #17 D7,G5 #17 D7,G5 #17 D7,G5 #17 D7,G5 #17 D7,G5 #17 D7,G5 #17 D7,G5 #17 D7,G5 #17 D7
6,0,0,0,0,0,0,0,0,0,0,0,0,G3 #13 D14,G3 #13 D14,G3 #13 D14,G3 #13 D14,G3 #13 D14,G3 #13 D14,G3 #13 D14,G3 #13 D14,G3 #13 D14,G3 #13 D14,G3 #13 D14,G3 #13 D14,0,0,0,0,0,0,0,0,0,0,0,0,G5 #17 D14,G5 #17 D14,G5 #17 D14,G5 #17 D14,G5 #17 D14,G5 #17 D14,G5 #17 D14,G5 #17 D14,G5 #17 D14,G5 #17 D14,G5 #17 D14,G5 #17 D14,0,0,0,0,0,0,0,0,0,0,0,0,G3 #13 D28,G3 #13 D28,G3 #13 D28,G3 #13 D28,G3 #13 D28,G3 #13 D28,G3 #13 D28,G3 #13 D28,G3 #13 D28,G3 #13 D28,G3 #13 D28,G3 #13 D28
7,0,0,0,0,0,0,0,0,0,0,0,0,G5 #17 D28,G5 #17 D28,G5 #17 D28,G5 #17 D28,G5 #17 D28,G5 #17 D28,G5 #17 D28,G5 #17 D28,G5 #17 D28,G5 #17 D28,G5 #17 D28,G5 #17 D28,0,0,0,0,0,0,0,0,0,0,0,0,G3 #13 D35,G3 #13 D35,G3 #13 D35,G3 #13 D35,G3 #13 D35,G3 #13 D35,G3 #13 D35,G3 #13 D35,G3 #13 D35,G3 #13 D35,G3 #13 D35,G3 #13 D35,0,0,0,0,0,0,0,0,0,0,0,0,G5 #17 D35,G5 #17 D35,G5 #17 D35,G5 #17 D35,G5 #17 D35,G5 #17 D35,G5 #17 D35,G5 #17 D35,G5 #17 D35,G5 #17 D35,G5 #17 D35,G5 #17 D35
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,G1 #24 D0,G1 #24 D0,G1 #24 D0,G1 #24 D0,G1 #24 D0,G1 #24 D0,G1 #24 D0,G1 #24 D0,G1 #24 D0,G1 #24 D0,G1 #24 D0,G1 #24 D0,S289,S289,S289,S289,S289,S289,S289,S289,S289,S289,S289,S289,G1 #24 D2,G1 #24 D2,G1 #24 D2,G1 #24 D2,G1 #24 D2,G1 #24 D2,G1 #24 D2,G1 #24 D2,G1 #24 D2,G1 #24 D2,G1 #24 D2,G1 #24 D2,S337,S337,S337,S337,S337,S337,S337,S337,S337,S337,S337,S337,G1 #43 D0,G1 #43 D0,G1 #43 D0,G1 #43 D0,G1 #43 D0,G1 #43 D0,G1 #43 D0,G1 #43 D0,G1 #43 D0,G1 #43 D0,G1 #43 D0,G1 #43 D0,S290,S290,S290,S290,S290,S290,S290,S290,S290,S290,S290,S290
